SubID,aex,artInterest,LockDown_days,experience_visit_again,experience_meaning,experience_beautifulness,experience_goodness,condition,age,see_art,per_Ext,per_A,per_Ce,per_ES,per_OE,block,posMood,negMood,lone,STAI,SAT,wellbeing
R_3PZu2zkCm50xEsR,Female,7,40,3,4,5,5,art,23,"Yes, I saw art",3,5,4.5,4.5,6,post,4,3,2.8333333333333335,3.8333333333333335,4.6,3.25
R_AjGe96Acq5eqfdv,Male,6,80,5,2,1,4,non_art,36,"Yes, I saw art",6,3.5,4,3,4.5,pre,3,2,3.3333333333333335,4.5,3.8,3.5
R_AjGe96Acq5eqfdv,Male,6,80,5,2,1,4,non_art,36,"Yes, I saw art",6,3.5,4,3,4.5,post,3,2,3.8333333333333335,3.8333333333333335,2.8,3.75
R_50jW94rW7TLC0o1,Female,5,72,6,5,6,6,non_art,27,"Yes, I saw art",4.5,4.5,6.5,5.5,5,pre,6,2,2.5,2.3333333333333335,6,5.25
R_50jW94rW7TLC0o1,Female,5,72,6,5,6,6,non_art,27,"Yes, I saw art",4.5,4.5,6.5,5.5,5,post,6,2,2.3333333333333335,2.3333333333333335,6,5.75
R_30ohhaVYgb4JYHL,Male,4,50,2,2,3,2,non_art,36,"No, I experienced something else",4,2,6,1.5,7,pre,6,2,4,3.8333333333333335,3.2,4.5
R_30ohhaVYgb4JYHL,Male,4,50,2,2,3,2,non_art,36,"No, I experienced something else",4,2,6,1.5,7,post,5,2,4.166666666666667,4.5,1.6,4
R_2v2sjhAKp2B0Qyh,Female,5,0,1,1,4,2,non_art,24,"No, I experienced something else",4.5,3.5,7,6,5.5,pre,5,3,1.6666666666666667,1.8333333333333333,6.2,5.25
R_2v2sjhAKp2B0Qyh,Female,5,0,1,1,4,2,non_art,24,"No, I experienced something else",4.5,3.5,7,6,5.5,post,3,5,2,3.1666666666666665,6.2,6
R_bwui8pNN4Zj2Vvb,Female,7,65,7,7,7,7,art,25,"Yes, I saw art",5.5,5.5,5.5,5.5,6,pre,5,2,3.6666666666666665,3.6666666666666665,4.2,5
R_bwui8pNN4Zj2Vvb,Female,7,65,7,7,7,7,art,25,"Yes, I saw art",5.5,5.5,5.5,5.5,6,post,6,1,2.1666666666666665,3,4,5
R_2bIw90AsLZSLuzN,Male,1,65,2,2,4,4,non_art,24,"Yes, I saw art",4.5,5,6,6,4,pre,6,1,3.1666666666666665,1.5,4.4,5
R_2bIw90AsLZSLuzN,Male,1,65,2,2,4,4,non_art,24,"Yes, I saw art",4.5,5,6,6,4,post,6,1,2.8333333333333335,1.6666666666666667,4.4,5.75
R_22K9u8sN6dkEu4g,Female,7,65,7,3,7,6,art,24,"Yes, I saw art",4,3.5,4,2,5.5,pre,1,5,6,5.833333333333333,1.8,3.25
R_22K9u8sN6dkEu4g,Female,7,65,7,3,7,6,art,24,"Yes, I saw art",4,3.5,4,2,5.5,post,1,5,5.333333333333333,6.666666666666667,3,3
R_bdwTPSYeWQO6kOl,Female,7,50,6,5,5,6,non_art,41,"Yes, I saw art",4,4.5,4,2.5,6,pre,6,3,3.1666666666666665,4.5,5,4.5
R_bdwTPSYeWQO6kOl,Female,7,50,6,5,5,6,non_art,41,"Yes, I saw art",4,4.5,4,2.5,6,post,4,5,3.3333333333333335,5.166666666666667,4.6,3.5
R_1pAnpS2VBsnPnrJ,Male,5,63,4,4,4,4,non_art,25,"Yes, I saw art",4,5,5,6,6,pre,5,2,3,2,3,4.25
