SubID,aex,artInterest,LockDown_days,experience_visit_again,experience_meaning,experience_beautifulness,experience_goodness,condition,age,see_art,per_Ext,per_A,per_Ce,per_ES,per_OE,block,posMood,negMood,lone,STAI,SAT,wellbeing
R_yVelrCF9JdEbQul,Female,4,45,1,1,1,4,non_art,28,"No, I experienced something else",5,4,2.5,5.5,7,pre,4,4,1.8333333333333333,2.5,6.2,6.5
R_yVelrCF9JdEbQul,Female,4,45,1,1,1,4,non_art,28,"No, I experienced something else",5,4,2.5,5.5,7,post,7,1,1.5,1.3333333333333333,6.4,6.5
R_31XCjgZ7iOBd18n,Female,6,40,6,4,6,5,art,43,"Yes, I saw art",3,6,6,6,6,pre,2,5,4.333333333333333,4.166666666666667,2.6,4.75
R_31XCjgZ7iOBd18n,Female,6,40,6,4,6,5,art,43,"Yes, I saw art",3,6,6,6,6,post,4,2,4.666666666666667,3.6666666666666665,2.4,4
R_a9Lm7MlhdxatbEZ,Female,7,30,5,6,6,6,non_art,24,"Yes, I saw art",7,6.5,6,7,6.5,pre,6,1,2.5,1.5,4.6,5.75
R_a9Lm7MlhdxatbEZ,Female,7,30,5,6,6,6,non_art,24,"Yes, I saw art",7,6.5,6,7,6.5,post,6,1,2.3333333333333335,2.3333333333333335,4,6.25
R_2ZP9AP4y7g2i8NH,Male,6,41,4,5,6,7,art,27,"Yes, I saw art",3,5.5,4,5.5,3.5,pre,5,3,3.6666666666666665,3.6666666666666665,3.8,4.25
R_2ZP9AP4y7g2i8NH,Male,6,41,4,5,6,7,art,27,"Yes, I saw art",3,5.5,4,5.5,3.5,post,5,3,3.6666666666666665,3.1666666666666665,3.8,4
R_pRA5JjKQYmcw8KJ,NA,6,40,3,6,5,5,non_art,27,"Yes, I saw art",3,5.5,4,4,5.5,pre,6,2,3.3333333333333335,3,4.6,3.75
R_pRA5JjKQYmcw8KJ,NA,6,40,3,6,5,5,non_art,27,"Yes, I saw art",3,5.5,4,4,5.5,post,6,1,2.5,2.6666666666666665,4.8,5
R_3Mh5bnyUaOHAWHt,Male,4,45,4,5,6,6,art,26,"Yes, I saw art",2.5,5,6,6,5.5,pre,6,2,2.3333333333333335,1.8333333333333333,5.6,5.25
R_3Mh5bnyUaOHAWHt,Male,4,45,4,5,6,6,art,26,"Yes, I saw art",2.5,5,6,6,5.5,post,6,1,2.1666666666666665,1.8333333333333333,6,6.25
R_2fCiZvxaTn6wKto,Female,7,44,4,7,7,7,art,40,"No, I experienced something else",2.5,7,6.5,4.5,5.5,pre,4,5,3.5,5,4.6,3.5
R_2fCiZvxaTn6wKto,Female,7,44,4,7,7,7,art,40,"No, I experienced something else",2.5,7,6.5,4.5,5.5,post,5,4,3,2.5,4.8,4
R_2q4Yc72N5AgkxrK,Male,7,60,7,7,7,7,art,30,"Yes, I saw art",2.5,5,6,6.5,6.5,pre,6,1,2.6666666666666665,2,4.8,5.75
R_2q4Yc72N5AgkxrK,Male,7,60,7,7,7,7,art,30,"Yes, I saw art",2.5,5,6,6.5,6.5,post,6,1,2.3333333333333335,1.5,5,6
R_2ZUIQDZuDFlulIi,Female,7,50,2,1,1,1,non_art,30,"No, I experienced something else",4,3.5,4,4.5,7,pre,4,5,4.166666666666667,4.166666666666667,4.6,3.5
